Topic,Asset,Interval,Target param,RF_R2,RF_RMSE,Target_Std
China,CL,1h,Beta,-0.503608055856128,1.7723846228613078,1.445408657033663
China,CL,1d,Beta,-0.5969472639607707,1.1994159900481927,0.9491274785906565
China,ES,5m,Beta,1.0,0.0,0.0
China,ES,15m,Beta,1.0,0.0,0.0
China,ES,30m,Beta,1.0,0.0,0.0
China,ES,1h,Beta,1.0,0.0,0.0
China,ES,1d,Beta,1.0,0.0,0.0
China,YM,5m,Beta,-1.2264804555397002,0.5605002993462912,0.3756353063436092
China,YM,15m,Beta,-0.07310642170096426,0.1289951598900267,0.12452370051038886
China,YM,30m,Beta,-1.442355740237332,0.21541680295104038,0.13783995274343078
China,YM,1h,Beta,-1.1583933795765384,0.19202689586989669,0.13070637238819938
China,YM,1d,Beta,-1.4503307936315917,0.12079726743817935,0.07716933384093763
China,ZN,5m,Beta,-0.1695186893144811,0.6936754775540446,0.64143515515541
China,ZN,15m,Beta,-1.2746372204426817,0.33909649864042923,0.2248367167805974
China,ZN,30m,Beta,-0.6365044550746353,0.17049590128112277,0.13327704254589615
China,ZN,1h,Beta,-1.1288650001500025,0.16197933794493308,0.11101599572807018
China,ZN,1d,Beta,-0.7439303929095795,0.10491403684180513,0.07944544914940704
China,I_NDX,5m,Beta,-0.40323795356048464,0.5752149454446479,0.4855841475058096
China,I_NDX,15m,Beta,-1.313211853125805,0.17489370352031974,0.1149916934878519
China,I_NDX,30m,Beta,-0.7284137022675023,0.16389673616666503,0.12466554926674649
China,I_NDX,1h,Beta,-0.6168553750491219,0.1340768857499054,0.10544313907485485
China,I_NDX,1d,Beta,-3.7959007651853653,0.18461257926522884,0.084299732365639
Federal politics,X_BTCUSD,5m,Return,-0.02508186336570084,0.0017976117822784202,0.0017754834610571033
Federal politics,X_BTCUSD,15m,Return,0.009135413840941964,0.0035968312497649865,0.003613373950753893
Federal politics,X_BTCUSD,30m,Return,-0.05835498057556787,0.005212417600214921,0.005066680554045856
Federal politics,X_BTCUSD,1h,Return,-0.066630158928634,0.00650851046094234,0.00630194600210022
Federal politics,X_BTCUSD,1d,Return,0.24660521092177434,0.028614340336302373,0.03296646895645804
Federal politics,CL,5m,Return,0.0020246751033310417,0.003448350752091972,0.0034518469569554955
Federal politics,CL,15m,Return,-0.027386258638051997,0.006489730092624349,0.006402649951701574
Federal politics,CL,30m,Return,-0.07309020026522828,0.007871273855052215,0.00759848320894969
Federal politics,CL,1h,Return,-0.0815432673608174,0.01048480022450522,0.010081803088835191
Federal politics,CL,1d,Return,0.04994846085223015,0.06403811762776615,0.06569994025068414
Federal politics,ES,5m,Return,-0.03179536162106933,0.0008817977502821514,0.0008681048865893268
Federal politics,ES,15m,Return,-0.1950763077755815,0.00167316880143224,0.0015305303276915514
Federal politics,ES,30m,Return,-0.045703161479492715,0.0016240469289238453,0.001588160404281568
Federal politics,ES,1h,Return,-0.37408201314270295,0.0022526087828955584,0.0019216728119723317
Federal politics,ES,1d,Return,0.8743502164717865,0.004033981285392882,0.01138028155048079
Federal politics,YM,5m,Return,-0.07538375783759332,0.0009143411573107164,0.0008817115558246162
Federal politics,YM,15m,Return,-0.19697620222800083,0.0016571828016624073,0.0015147036066077118
Federal politics,YM,30m,Return,-0.03147928941600031,0.0016185933914967196,0.001593703427628519
Federal politics,YM,1h,Return,-0.33168412770914535,0.002316566445494922,0.0020074472855056437
Federal politics,YM,1d,Return,0.6859079435873914,0.006591413348591747,0.011761157630270646
Federal politics,ZN,5m,Return,-0.11444314214631834,0.0003296680999115225,0.0003122827297181153
Federal politics,ZN,15m,Return,-0.04101068383660755,0.0005359637771410153,0.0005253005381967235
Federal politics,ZN,30m,Return,-0.17125537611626918,0.0008441360332050788,0.0007799856999187182
Federal politics,ZN,1h,Return,-0.17736579104752193,0.0008912700676312696,0.0008213979505784491
Federal politics,ZN,1d,Return,-0.5188971917534155,0.0034074033658128213,0.0027647722288308245
Federal politics,I_NDX,5m,Return,-1.0661006212972892,0.0012351786996214538,0.0008593182980016858
Federal politics,I_NDX,15m,Return,-0.1759831642983425,0.002074664727443931,0.0019131427273358283
Federal politics,I_NDX,30m,Return,-0.23136736794098023,0.0027289335784386145,0.002459229982457844
Federal politics,I_NDX,1h,Return,-0.4643205164681936,0.0035923807007530676,0.0029686861130707133
Federal politics,I_NDX,1d,Return,0.7477740142118321,0.007181429021393114,0.014299338871994331
Federal politics,X_BTCUSD,5m,Vol,-0.35309484699648097,0.00028836793048668205,0.0002479036040357736
Federal politics,X_BTCUSD,15m,Vol,-0.21990238538940798,0.0001449031116558733,0.00013119436184151823
Federal politics,X_BTCUSD,30m,Vol,-0.22937729822030972,9.755081279764839e-05,8.798087922693835e-05
Federal politics,X_BTCUSD,1h,Vol,-0.2790023222007465,6.387930532772364e-05,5.648387953782975e-05
Federal politics,X_BTCUSD,1d,Vol,-0.3038536660015847,1.1462390569976774e-05,1.0038313999348205e-05
Federal politics,CL,5m,Vol,-0.28195750626111415,0.000503823783704573,0.0004449813920501743
Federal politics,CL,15m,Vol,-0.23521795847296123,0.00034794977270564205,0.00031307238271992516
Federal politics,CL,30m,Vol,-0.6339453071260637,0.00022719129092603707,0.00017773498488016877
Federal politics,CL,1h,Vol,-0.3259455016579713,0.00015347459467262772,0.00013328266193944589
Federal politics,CL,1d,Vol,-0.31413772294587194,2.3433347283114322e-05,2.0441553025457056e-05
Federal politics,ES,5m,Vol,0.0953944901112811,9.982267643915884e-05,0.00010495414514137449
Federal politics,ES,15m,Vol,0.2663983980775485,4.615074290782663e-05,5.3882602151805824e-05
Federal politics,ES,30m,Vol,0.23334653321897725,3.225573946713095e-05,3.683896759391224e-05
Federal politics,ES,1h,Vol,-0.6560336544595589,3.0449549375037666e-05,2.3661718899870402e-05
Federal politics,ES,1d,Vol,0.8631924658419066,7.639501650772451e-07,2.0654278156990935e-06
Federal politics,YM,5m,Vol,0.05959135661333603,0.00012654085923117353,0.00013048857035996946
Federal politics,YM,15m,Vol,0.12463462053249041,6.245739466181636e-05,6.675582707699274e-05
Federal politics,YM,30m,Vol,0.1198651068497596,4.29079554304931e-05,4.573652888701277e-05
Federal politics,YM,1h,Vol,-1.302839159310123,4.113734148737507e-05,2.710843330773745e-05
Federal politics,YM,1d,Vol,0.09564783765876794,4.59804508939047e-06,4.835088582174756e-06
Federal politics,ZN,5m,Vol,-0.09074169729027037,4.419356127162926e-05,4.231536019654908e-05
