Topic,Asset,Interval,Target param,word_count,hour_sin,hour_cos,return_1d_lag1,vol_1d_lag1,return_1d_sma5,vol_1d_sma5,topic_sentiment
China,CL,15m,Vol,0.09535536179772434,0.06546317604495751,0.32248670573131444,0.04106857643172763,0.031051984736838966,0.06882406382350138,0.29370817113715847,0.08204196029677732
China,CL,30m,Vol,0.059722318605111936,0.12595386149403973,0.17834188320323108,0.0875252800988052,0.07482304320660332,0.13609247335421043,0.25188496556415624,0.08565617447384209
China,CL,1h,Vol,0.06858200097034126,0.09823101245654076,0.1550337610646211,0.07513294188272462,0.059110325164706344,0.12404905537086885,0.333318508748425,0.0865423943417721
China,CL,1d,Vol,0.3101212885493283,0.04896829793170598,0.05759317489153286,0.0843210941416103,0.14339851162720693,0.1046112564317838,0.16038184980552564,0.0906045266213062
China,ES,5m,Vol,0.02778798254272701,0.029137139601790093,0.017457982338320854,0.1282795840819408,0.1405776321630266,0.16053300687464409,0.4580805355412125,0.03814613685633796
China,ES,15m,Vol,0.046355035317821654,0.12509893758623644,0.050775943617136776,0.19423963704622899,0.1784422364529646,0.06016232345454733,0.2528495832840363,0.09207630324102795
China,ES,30m,Vol,0.0625790586324563,0.12116459848623319,0.025489504475201145,0.24221718405344786,0.15537639228634373,0.15273964034036272,0.18370509088937842,0.05672853083657666
China,ES,1h,Vol,0.04685282728906047,0.12372263354748407,0.021038818050724335,0.22289485055200908,0.18163952004446965,0.16552198816596767,0.1980720899414224,0.040257272408862475
China,ES,1d,Vol,0.0038376061171724925,0.004032644035473236,0.003941094649969862,0.01748335068567488,0.5442885822590713,0.04547932989791675,0.37717351682180755,0.0037638755329140188
China,YM,5m,Vol,0.03869306028944998,0.04533433738149748,0.03433402241997873,0.08856465592524869,0.22154742097031005,0.1737634831119766,0.2836061736820667,0.11415684621947186
China,YM,15m,Vol,0.05925421918841247,0.10896614103269503,0.06590926475440063,0.1363012260621221,0.1407308068268417,0.08619240987625836,0.1361837803952867,0.2664621518639832
China,YM,30m,Vol,0.05632464325869889,0.14982603338334124,0.045235312178933146,0.223474007326799,0.09836604588272017,0.16617208088830662,0.08762661275185021,0.17297526432935076
China,YM,1h,Vol,0.026976015455653948,0.13447726540974053,0.03568695277999094,0.09625514488096429,0.1836633641057333,0.2524377130425346,0.10505925506851255,0.16544428925686974
China,YM,1d,Vol,0.028903692657346814,0.01888244846460912,0.016771154416308477,0.03187051256980642,0.39540123887396506,0.05699257083671484,0.3796400070663145,0.07153837511493481
China,ZN,5m,Vol,0.06443693832838764,0.0919821410140909,0.060590322809585075,0.17448420074936838,0.12137840826269025,0.2668037891072828,0.1562946297906964,0.06402956993789853
China,ZN,15m,Vol,0.13771126061942604,0.0693339141005724,0.1323537256768205,0.17251997122252463,0.02691425685871456,0.11304762454148867,0.036507209849314194,0.31161203713113894
China,ZN,30m,Vol,0.08871949940134079,0.06708473949916036,0.4566608267733903,0.07625668947037204,0.028616630743270973,0.12265135167157164,0.05179909147361706,0.10821117096727689
China,ZN,1h,Vol,0.08156788716542555,0.08599894627996524,0.5820441064704776,0.04261830900219227,0.02065345383935207,0.08643193406172431,0.03624111391057444,0.06444424927028851
China,ZN,1d,Vol,0.08225124423383061,0.0830516682512537,0.07787707752164129,0.0416835456535227,0.019807970038470474,0.08032373963089519,0.020467891424629996,0.5945368632457559
China,I_NDX,5m,Vol,0.06483746019908437,0.033820212657252796,0.021911779963352786,0.05976984259740485,0.07929110672221001,0.10430058271427971,0.5281739195467279,0.1078950955996876
China,I_NDX,15m,Vol,0.04950320471663225,0.04093591086939252,0.029329529469694696,0.21896934665054385,0.1497089620970184,0.07529757361896308,0.39201865994111834,0.044236812636636896
China,I_NDX,30m,Vol,0.07825311258325203,0.03790592416833249,0.030783335776147617,0.23797157230269644,0.17313246995468895,0.09803960153073374,0.2520876203163145,0.09182636336783427
China,I_NDX,1h,Vol,0.07655437273607281,0.03467580676591738,0.032985752268676186,0.18173016843306394,0.20445921085075452,0.11495445415817575,0.2949512921501955,0.05968894263714388
China,I_NDX,1d,Vol,0.020069048242370456,0.028365433199886915,0.027167682218870816,0.08439457517153746,0.08807913896892496,0.15896963728845415,0.5433553686025,0.04959911630745526
China,X_BTCUSD,5m,Beta,0.15972960345538617,0.029895681994209965,0.15624718099812446,0.1263400170599743,0.07772460860610923,0.08602662089216313,0.15205811507262237,0.2119781719214104
China,X_BTCUSD,15m,Beta,0.12384272856537425,0.16605942768463927,0.1470013047149185,0.14609580500946476,0.04316881103181396,0.08333085345854295,0.08971616841466178,0.20078490112058453
China,X_BTCUSD,30m,Beta,0.20242982835575782,0.053784084055751656,0.10314927881001072,0.10661117849570147,0.07307794449465599,0.15209505205931806,0.2064249573280694,0.10242767640073491
China,X_BTCUSD,1h,Beta,0.1560868259999725,0.0821286751817364,0.1542299103599848,0.13225201845262097,0.06521541064860688,0.13265544937338644,0.0740085372765059,0.2034231727071861
China,X_BTCUSD,1d,Beta,0.06284424075408888,0.10540002924884675,0.2011572346467054,0.13424218301682825,0.09818405410392872,0.10720293159913757,0.12114444437045555,0.16982488226000886
China,CL,5m,Beta,0.25391205748053375,0.11666637706840158,0.13192110364087242,0.14480434988377278,0.03658599080508154,0.09016251833964327,0.09910599438407829,0.12684160839761632
China,CL,15m,Beta,0.1593647031543831,0.09456013368836062,0.0622526570060772,0.2120681091908749,0.04815089672863003,0.13197180087217808,0.1440775203335941,0.14755417902590204
China,CL,30m,Beta,0.10775761072846742,0.06781316110746713,0.26879731283251246,0.1417117372952287,0.048984126939557865,0.12200871216733215,0.11111075700271258,0.13181658192672177
China,CL,1h,Beta,0.08336326040545769,0.034924962345397215,0.46076302410829933,0.11155191236933204,0.06903163443864122,0.053363336828924794,0.07804258300291436,0.10895928650103323
China,CL,1d,Beta,0.3065104746890812,0.024289073684899024,0.03696445147488739,0.06302295001385216,0.042657363545006065,0.041502430402629555,0.32578564495798906,0.15926761123165556
China,ES,5m,Beta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,ES,15m,Beta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,ES,30m,Beta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,ES,1h,Beta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,ES,1d,Beta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,YM,5m,Beta,0.25882468476646525,0.06239286135312321,0.23417832367984726,0.0804971837817301,0.05060517206542709,0.09517735425511412,0.11025649295132137,0.10806792714697165
China,YM,15m,Beta,0.10773263509920225,0.07854442822744608,0.17266289004450144,0.12102482962610901,0.0705845400388037,0.17205034983304177,0.09837746633443052,0.1790228607964651
China,YM,30m,Beta,0.07815937949642458,0.049050806555508315,0.05486022598719439,0.0990086250553488,0.049128305984572844,0.04871776707439276,0.1697299910018816,0.4513448988446766
China,YM,1h,Beta,0.12090760169474342,0.0737777428222599,0.07989279662084925,0.07251384018144438,0.05223600760925562,0.0890655554144574,0.12151372858950171,0.3900927270674883
China,YM,1d,Beta,0.07757342080715054,0.05237687424741515,0.13710419838238627,0.11504548378687979,0.060597752906174446,0.05435706004426377,0.39540328122844354,0.10754192859728652
China,ZN,5m,Beta,0.2674568847703359,0.044586593202240045,0.12615540577232426,0.10127126805354454,0.08737415389393575,0.10966635601806644,0.13483013064706129,0.12865920764249186
China,ZN,15m,Beta,0.08999230902237931,0.05970700448274337,0.17128604736822972,0.16332170182602596,0.08076786346353472,0.18680277247755459,0.15843933140391692,0.08968296995561534
China,ZN,30m,Beta,0.10597396282757515,0.10287562252403934,0.15290280956744606,0.12079169191701727,0.039587791625812975,0.22753072636166322,0.0967498542243047,0.15358754095214117
China,ZN,1h,Beta,0.19829980467923156,0.11040031790540497,0.14985098632816482,0.10097677636408967,0.04784539251387441,0.09186899127546932,0.12525489161715977,0.17550283931660557
China,ZN,1d,Beta,0.10583941089946494,0.1173177641273362,0.19498064668265708,0.12631937588395983,0.04743443662009157,0.16223108742004708,0.13092371081595705,0.11495356755048627
China,I_NDX,5m,Beta,0.24807422209497978,0.04997729094694961,0.15233694013573218,0.11816658095041298,0.06526155641022546,0.12384616416191509,0.11403727017202399,0.12829997512776095
China,I_NDX,15m,Beta,0.15856982775406214,0.09677910239270174,0.172831162231349,0.2342177819293819,0.030122394289890213,0.10869483665977019,0.05566183136037242,0.14312306338247247
China,I_NDX,30m,Beta,0.18570977359579396,0.10027809985788452,0.09371384941238221,0.13826560015762704,0.0680335109607312,0.15160893744890205,0.10845505469259396,0.1539351738740851
China,I_NDX,1h,Beta,0.21762403545850975,0.10514322640166215,0.08452281020222463,0.12160297433463503,0.05102577837240029,0.12491308965161509,0.13621462968954984,0.15895345588940324
China,I_NDX,1d,Beta,0.135789120208367,0.11433814117488354,0.1790762687575362,0.17850784658555793,0.04616606135220946,0.14957040719326253,0.1004046160977621,0.09614753863042122
Federal politics,X_BTCUSD,5m,Return,0.15628099963786807,0.0708650451591441,0.0856711949293125,0.16024767913836577,0.06260433853918096,0.17708313550593963,0.1100678032226615,0.1771798038675275
